N,D,genK,K,W,sep,ewexp,ewmin,ewmax,ewpmin,ewpmax,me,g,pattern,init_round,init_time,init_min,init_q25,init_mean,init_med,init_q75,init_max,init_var,final_round,final_time,final_min,final_q25,final_mean,final_med,final_q75,final_max,final_var
10000,3,10,10,0,2,0,50,50,5,5,UN,15,Alt_AdaptMean+Means2GMM_f0.5,0,0.0313333333333333,235614.739108534,236662.415589702,237596.398866903,237478.913380499,238234.143493478,240963.622717608,1354518.57188443,50,0.921333333333334,222466.802964917,224209.336302906,226427.246156155,226983.72131008,228142.18602267,231553.236197303,6180433.43952121
10000,3,10,10,0,2,0,50,50,5,5,UN,15,Alt_AdaptMean+Means2GMM_f1,0,0.0156666666666667,234626.773007608,235908.831336366,236809.399464814,236919.277039908,237585.766189762,239951.98337095,1422240.13325571,50,0.465666666666666,222466.802964917,224443.003963891,226052.585507072,225109.764668333,226808.822623242,233898.474713036,6514275.79840252
10000,3,10,10,0,2,0,50,50,5,5,UN,15,AgglomerativeInit__sample0.1,0,0.422333333333333,237877.452947443,240357.639227143,242278.204725575,242316.909702968,243918.018376643,246855.348901895,5118390.34857329,50,1.29722222222222,223828.633209881,226787.716696663,228916.827029596,229106.741732169,230516.794951625,237214.523152431,6858890.40512686
10000,3,10,10,0,2,0,50,50,5,5,UN,15,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.00900000000000001,236262.871177662,237782.491536892,238088.561657288,238266.886587429,238644.417309071,239620.88416185,724120.844205008,50,0.502222222222222,226345.257329119,229579.112224001,230637.614032432,230831.91188187,233354.919283893,234613.662017363,6046145.42553872
10000,3,10,10,0,2,0,50,50,5,5,UN,15,GonzalezKwedlo_.*_sample0.1_,0,0.000666666666666667,2051977.7208503,2449552.3037732,2849907.16574045,2694978.45621788,3311529.08032007,3722053.20888457,245267406339.297,50,0.519666666666667,226188.83379436,228702.079842901,229996.57026624,229973.90988488,230840.289776005,234254.115760898,5839808.0167052
10000,3,10,10,0,2,0,50,50,5,5,UN,16,UniformMeans2GMM,0,0.00166666666666667,227587.563228547,228920.477245568,229519.63919226,229462.068499713,230094.714810714,231687.900061042,912464.44651745,50,0.451444444444445,218403.543640873,220632.72895774,221322.691940911,221316.221344464,222345.556689697,224680.627685352,2462973.01380444
10000,3,10,10,0,2,0,50,50,5,5,UN,16,AdaptiveMeans2GMM,0,0.00233333333333333,227589.814625761,228241.756808658,228788.248504283,228741.88154324,229237.663582985,231414.496719396,622207.722396599,50,0.449555555555556,218406.759487097,220235.593835966,221272.407487145,221020.237739788,222340.959879895,224313.844478045,1630453.97089744
10000,3,10,10,0,2,0,50,50,5,5,UN,16,Gonzalez2GMM,0,0.002,230188.785569954,231408.316685008,232324.936531579,232456.443259648,233271.713525979,234236.071638573,1113256.94750491,50,0.447555555555556,222320.464996654,223611.826431704,224395.802657007,224125.274805577,225146.425256255,227434.708279935,1311519.11736571
10000,3,10,10,0,2,0,50,50,5,5,UN,16,Alt_AdaptMean+Means2GMM_f0.5,0,0.03,226870.756205195,227515.301129745,228089.069815303,228214.847632843,228477.452608422,229588.007228534,413781.694091289,50,0.877333333333334,218406.759487097,219449.880310335,220482.223441908,220691.055221224,221272.156152273,222825.324749589,1552323.84386361
10000,3,10,10,0,2,0,50,50,5,5,UN,16,Alt_AdaptMean+Means2GMM_f1,0,0.016,226647.736779977,227635.933105636,228041.388895035,228013.658454989,228496.158894817,229083.692152659,335211.377730659,50,0.463,218406.759487098,219877.876970162,220854.031099097,220688.017572988,221413.603967966,224092.354148002,1957658.2890566
10000,3,10,10,0,2,0,50,50,5,5,UN,16,AgglomerativeInit__sample0.1,0,0.425333333333334,230440.170591706,231430.106025478,232315.532334569,232091.144370289,233053.088355921,234748.439285453,1448192.30733593,50,1.28944444444444,219902.807543533,221680.873852789,222400.897894761,222336.07673543,223180.280541224,225130.334306552,1545666.62296914
10000,3,10,10,0,2,0,50,50,5,5,UN,16,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.00966666666666667,227704.848148895,228422.301460633,228781.994142705,228771.526128433,229137.752737192,229705.7865808,270578.360261932,50,0.498333333333334,220993.198655256,222732.400357499,223229.475321273,223186.401943869,224285.029989682,226480.584558783,1734809.08494251
10000,3,10,10,0,2,0,50,50,5,5,UN,16,GonzalezKwedlo_.*_sample0.1_,0,0.000666666666666667,3131265.02834181,3744968.98614046,4276711.12057688,4152530.46753134,4646668.26573163,5779758.02961996,453473479440.635,50,0.52,219819.665303665,221898.078768687,222881.134014662,223155.121390366,223943.9740697,225536.168130278,2062066.04361898
10000,3,10,10,0,2,0,50,50,5,5,UN,17,UniformMeans2GMM,0,0.001,231323.382177134,232566.418421324,233635.79229366,234004.827000356,234580.462513873,235912.439655659,1641384.31516568,50,0.448888888888889,220120.263241264,222175.971820462,223273.37683622,223109.571062356,224456.509037074,226496.695051368,2500630.5795299
10000,3,10,10,0,2,0,50,50,5,5,UN,17,AdaptiveMeans2GMM,0,0.002,230233.63980021,231793.995951214,232408.022695374,232565.697338921,233041.993058292,234204.237949395,1000809.04754523,50,0.45,220426.387616358,222881.785840002,223337.397807544,223070.571468036,224531.140885507,227502.609859192,2533723.42662246
10000,3,10,10,0,2,0,50,50,5,5,UN,17,Gonzalez2GMM,0,0.001,234584.389214698,235427.833959217,236190.182912378,235974.939129669,237011.183284325,238561.097825392,1275119.22603325,50,0.445888888888889,224198.044533293,227276.055082075,228102.690683413,228221.074735665,228848.071459426,231946.775276261,3030685.21564046
10000,3,10,10,0,2,0,50,50,5,5,UN,17,Alt_AdaptMean+Means2GMM_f0.5,0,0.0306666666666666,230014.573645606,230991.446608026,231737.003300942,231442.753893275,232552.318990937,233976.984627144,1078261.97283351,50,0.903222222222222,220323.786460499,221437.430255296,222677.604781757,222845.181401933,223158.803792329,227131.458099261,2258504.61249713
10000,3,10,10,0,2,0,50,50,5,5,UN,17,Alt_AdaptMean+Means2GMM_f1,0,0.0166666666666667,229061.747247417,230409.54953775,231279.181206215,231217.012215932,232193.60120257,233658.620792458,1086579.49541823,50,0.465666666666667,220426.387616358,222779.758890066,223325.938816329,223149.865417908,224122.319925634,226063.212094623,1872869.61825266
10000,3,10,10,0,2,0,50,50,5,5,UN,17,AgglomerativeInit__sample0.1,0,0.421,233094.435052004,235279.995275183,236177.085125148,235960.76987724,236999.241762752,239514.862612508,1781745.60513357,50,1.27977777777778,220426.387616358,223283.794732277,224430.685859244,224642.540139563,225633.649320926,228387.128715861,2515122.33727498
10000,3,10,10,0,2,0,50,50,5,5,UN,17,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.00900000000000001,230206.496811399,231308.602064133,232008.25850585,232117.077145012,232540.384059247,233592.407925767,817848.284226176,50,0.498888888888889,223076.82736357,225689.911318426,226674.193371613,226396.60202361,228154.273376581,229669.688704736,2690617.20781247
10000,3,10,10,0,2,0,50,50,5,5,UN,17,GonzalezKwedlo_.*_sample0.1_,0,0.00333333333333333,2373514.19216435,2947680.65528245,3445511.54870284,3399381.0144264,3751456.71098629,5193878.39308879,462030907660.133,50,0.628777777777778,221749.325877711,224643.975748014,225985.637188197,225972.626049272,227019.506819132,229760.921203734,3778057.828314
10000,3,10,10,0,2,0,50,50,5,5,UN,18,UniformMeans2GMM,0,0.00133333333333333,252616.100526641,255146.855330233,256698.040287738,256538.360649304,258234.36772925,262528.045092966,4649076.78221282,50,0.440333333333333,225143.5729976,228077.112988313,230666.219023999,231358.872825482,232068.573541433,241191.599839898,12607097.257249
