N,D,genK,K,W,sep,ewexp,ewmin,ewmax,ewpmin,ewpmax,me,g,pattern,init_round,init_time,init_min,init_q25,init_mean,init_med,init_q75,init_max,init_var,final_round,final_time,final_min,final_q25,final_mean,final_med,final_q75,final_max,final_var
10000,3,10,10,0,1,0,50,50,1,10,UN,19,GonzalezKwedlo_.*_sample0.1_,0,0.002,1490244.65937188,2220990.39078034,2757244.04478106,2804467.2654509,3246726.28873542,3930894.4404537,328744354265.826,50,0.456555555555556,226261.701801974,230671.946036104,230552.936067914,230751.254497947,231034.364468573,232936.205928209,2658115.36943197
10000,3,10,10,0,1,0,50,50,1,10,UN,19,GonzalezKwedlo_.*_sample1_,0,0.00900000000000001,2194788.11829534,3331823.48731884,3734207.03716836,3666545.9390794,4043143.88962337,5381385.3319724,478444759435.716,50,0.463333333333334,223875.873265257,230362.256517963,230926.278924823,231144.567435371,232919.099267085,235723.459828414,7769078.24414911
10000,3,10,10,0,1,0,50,50,1,10,UN,20,UniformMeans2GMM,0,0.00133333333333333,229456.948095328,231454.472306317,233495.013268546,233310.042184303,235264.513367954,238006.194355535,5117127.56440644,50,0.854666666666667,215039.914077944,217062.414295937,218852.873083049,219321.260369008,220310.235733843,223156.056463299,4352624.15281706
10000,3,10,10,0,1,0,50,50,1,10,UN,20,AdaptiveMeans2GMM,0,0.00233333333333333,228397.596494368,230390.838766117,231174.178151257,231195.58856695,231885.89109097,233137.29270112,1412985.81022493,50,0.869,215039.914077944,217352.793420256,217928.089845842,217907.774022216,218450.867593865,220916.395693789,2396961.11091775
10000,3,10,10,0,1,0,50,50,1,10,UN,20,Gonzalez2GMM,0,0.003,233402.308825506,237320.545231975,238403.611272782,238687.392654346,239973.87676794,242965.287067427,5724163.37476598,50,0.832555555555556,218440.24069376,219765.788088264,221314.309142054,220661.880950427,222737.295007594,226731.496920058,3852875.5489893
10000,3,10,10,0,1,0,50,50,1,10,UN,20,Alt_AdaptMean+Means2GMM_i,0,0.0286666666666667,229462.827220135,230238.991067117,231035.382369648,230763.203648304,231911.01533819,233097.888464199,1042840.76497136,50,0.892222222222223,215039.914077944,217065.332916678,218211.572994119,218520.793872142,219320.016783931,221860.104121391,2476643.99484563
10000,3,10,10,0,1,0,50,50,1,10,UN,20,Alt_AdaptMean+Means2GMM_f0.9,0,0.0333333333333333,229863.420052332,230569.882082936,231502.211082366,231535.903142707,232364.319505926,233397.930888269,903423.407344452,50,0.939000000000001,215039.93209628,217809.154980427,218651.570352659,218535.032385163,219442.078886167,222608.121781364,2259353.90152991
10000,3,10,10,0,1,0,50,50,1,10,UN,20,Alt_AdaptMean+Means2GMM_f0.7,0,0.032,229540.742534603,230162.149483599,231067.53417942,230930.359653079,231713.76002832,232953.924734783,935945.246158876,50,0.957444444444445,215039.914077944,217050.806617191,218417.67401702,218537.232184624,219859.266533618,221775.021657851,3677182.84358795
10000,3,10,10,0,1,0,50,50,1,10,UN,20,Alt_AdaptMean+Means2GMM_f0.5,0,0.032,229090.75248836,230528.183484001,231447.371272731,231343.025698342,232290.491190072,234400.980076659,1715790.30040595,50,0.953222222222223,215039.914077944,217055.103812639,218391.674234539,218271.208632458,219755.218726317,221821.712150497,3260967.06730695
10000,3,10,10,0,1,0,50,50,1,10,UN,20,AgglomerativeInit__sample0.1,0,1.82366666666667,233643.18165782,236754.178688982,238486.967919732,238574.399033277,240378.389690532,242860.821444362,6415358.99337578,50,2.738,216068.894603251,219452.446334538,221284.240032233,220963.136487143,223206.691462415,229177.990210241,7237502.25946198
10000,3,10,10,0,1,0,50,50,1,10,UN,20,GonzalezForGMM_.*_2gmm1_sample1,0,0.0166666666666667,230196.277670686,230196.277670686,230196.277670686,230196.277670686,230196.277670686,230196.277670686,0,50,0.502444444444445,225084.408621926,225084.408621926,225084.408621926,225084.408621926,225084.408621926,225084.408621926,0
10000,3,10,10,0,1,0,50,50,1,10,UN,20,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.00833333333333334,229506.099573704,230719.579885256,231435.281780649,231496.64417428,231887.996073391,233639.155526251,794661.779042105,50,0.502222222222222,216967.237969998,219857.299080805,221497.491515153,221568.243962842,222990.742004377,225890.095103016,5644087.11138233
10000,3,10,10,0,1,0,50,50,1,10,UN,20,GonzalezForGMM_.*_2gmm0_sample1,0,0.0123333333333333,2491396.21699473,3626407.66433316,4036641.71353241,4108484.92413768,4306916.96404109,5269976.26299508,375154446846.748,50,0.503555555555556,217052.350482689,220486.596374149,221892.691892825,221385.140814421,223356.992856278,226788.514437195,4368054.40915536
