N,D,genK,K,W,sep,ewexp,ewmin,ewmax,ewpmin,ewpmax,me,g,pattern,init_round,init_time,init_min,init_q25,init_mean,init_med,init_q75,init_max,init_var,final_round,final_time,final_min,final_q25,final_mean,final_med,final_q75,final_max,final_var
10000,3,10,10,0,0.5,0,50,50,2,2,0,3,Alt_AdaptMean+Means2GMM_f0.7,0,0.0313333333333333,187418.453867179,187535.929522674,187657.322673536,187647.944970427,187698.954217171,188361.537552243,31920.6246402537,50,0.851666666666667,186835.992075408,186848.145526822,186879.33312713,186860.841046922,186919.12883028,186948.796678562,1426.98884094192
10000,3,10,10,0,0.5,0,50,50,2,2,0,3,Alt_AdaptMean+Means2GMM_f0.5,0,0.0306666666666666,187441.808397852,187528.577465341,187670.068857368,187639.369985723,187744.42642026,188353.098691415,40227.793030746,50,0.854222222222222,186836.15768337,186848.486375478,186883.717819202,186862.708406496,186920.093788478,187001.698929203,1856.30540483605
10000,3,10,10,0,0.5,0,50,50,2,2,0,3,AgglomerativeInit__sample0_,0,0.263333333333334,188704.780511236,189095.916007289,189618.056300842,189330.05198325,190323.524314476,191275.724202924,447512.886614003,50,0.724888888888888,186837.815050904,186923.475748788,186988.383921721,186977.084828909,187047.86846011,187274.68488752,7955.55748300349
10000,3,10,10,0,0.5,0,50,50,2,2,0,3,AgglomerativeInit__sample0.1,0,0.417666666666667,188704.780511236,189095.916007289,189618.056300842,189330.05198325,190323.524314476,191275.724202924,447512.886614003,50,1.27211111111111,186837.815050904,186923.475748788,186988.383921721,186977.084828909,187047.86846011,187274.68488752,7955.55748300349
10000,3,10,10,0,0.5,0,50,50,2,2,0,3,GonzalezForGMM_.*_2gmm1_sample1,0,0.0313333333333333,188241.027087528,188241.027087528,188241.027087528,188241.027087528,188241.027087528,188241.027087528,0,50,0.838000000000001,186900.717481908,186900.717481908,186900.717481908,186900.717481908,186900.717481908,186900.717481908,0
10000,3,10,10,0,0.5,0,50,50,2,2,0,3,GonzalezForGMM_.*_2gmm1_sample0.1,0,0.0166666666666667,187441.855614063,187522.258255299,187616.851920783,187570.697992816,187625.565819833,188227.006158857,30782.6304229195,50,0.826333333333334,186799.299856806,186853.836468291,186895.750771431,186883.743466786,186925.782015499,187073.478800487,2892.46936172513
10000,3,10,10,0,0.5,0,50,50,2,2,0,3,GonzalezForGMM_.*_2gmm0_sample1,0,0.029,3201832.62508705,3608860.20770547,4162258.21014358,4155700.49874882,4619570.40683715,5344408.0056901,382464111622.471,50,0.848888888888889,186820.774972481,186874.706639714,186918.050595627,186910.806479837,186948.674211342,187113.853098189,3759.65135490726
10000,3,10,10,0,0.5,0,50,50,2,2,0,3,GonzalezForGMM_.*_2gmm0_sample0.1,0,0.014,2289825.05824755,2859316.19743452,3254237.54235905,3241869.95919865,3561443.32887885,5129033.81330643,301145291148.098,50,0.823,186846.371753815,186861.615479217,186898.178341565,186889.147313026,186917.266071481,186996.536035618,1838.19261916762
10000,3,10,10,0,0.5,0,50,50,2,2,0,3,GonzalezKwedlo_.*_sample0.1_,0,0.000666666666666667,2473837.56673709,2929843.39837185,3233569.04763753,3240815.02698886,3499894.47432924,4386990.22651168,185193510448.025,50,0.786777777777778,186849.353352455,186886.307132131,186912.38091337,186913.460207764,186937.817907852,187010.738775362,1324.54797917216
10000,3,10,10,0,0.5,0,50,50,2,2,0,3,GonzalezKwedlo_.*_sample1_,0,0.0153333333333333,3210266.7668343,3749298.50610442,4117682.8778444,4034373.64014927,4472587.6755484,5446739.39544541,271634665952.066,50,0.805888888888889,186856.19366843,186901.851574745,186925.246194663,186924.035145966,186945.71913987,187070.290253815,1808.55393081331
